NumProcesses,NumSamples,ExecutionTime
1,10000,0.013
2,10000,0.64
4,10000,0.48
6,10000,0.55
8,10000,0.50
1,10240000,5.47
2,10240000,4.21
4,10240000,2.83
6,10240000,2.30
8,10240000,2.04
1,1280000,0.68
2,1280000,0.85
4,1280000,0.80
6,1280000,0.69
8,1280000,0.65
1,160000,0.091
2,160000,0.53
4,160000,0.48
6,160000,0.60
8,160000,0.56
1,163840000,88.33
2,163840000,78.30
4,163840000,38.21
6,163840000,4.86
8,163840000,4.48
1,20000,0.013
2,20000,0.44
4,20000,0.46
6,20000,0.46
8,20000,0.45
1,20480000,10.90
2,20480000,7.90
4,20480000,5.41
6,20480000,4.12
8,20480000,3.52
1,2560000,1.34
2,2560000,1.30
4,2560000,1.06
6,2560000,0.93
8,2560000,0.86
1,320000,0.18
2,320000,0.52
4,320000,0.56
6,320000,0.56
8,320000,0.55
1,327680000,174.146
2,327680000,5.80
4,327680000,5.74
6,327680000,7.12
8,327680000,8.06
1,40000,0.026
2,40000,0.65
4,40000,0.44
6,40000,0.45
8,40000,0.51
1,40960000,21.99
2,40960000,14.93
4,40960000,9.79
6,40960000,7.97
8,40960000,7.04
1,5120000,2.72
2,5120000,2.50
4,5120000,1.63
6,5120000,1.35
8,5120000,1.55
1,640000,0.34
2,640000,0.69
4,640000,0.57
6,640000,0.58
8,640000,0.61
1,655360000,354.58
2,655360000,61.35
4,655360000,10.05
6,655360000,15.14
8,655360000,19.74
1,80000,0.046
2,80000,0.83
4,80000,0.64
6,80000,0.56
8,80000,0.68
1,81920000,44.23
2,81920000,66.03
4,81920000,35.44
6,81920000,24.86
8,81920000,19.33
