NumProcesses,NumSamples,ExecutionTime
1,10000,0.012
2,10000,0.66
4,10000,0.46
6,10000,0.44
8,10000,0.52
1,10240000,1.63
2,10240000,1.65
4,10240000,1.28
6,10240000,1.18
8,10240000,1.04
1,1280000,0.22
2,1280000,0.57
4,1280000,0.53
6,1280000,0.55
8,1280000,0.59
1,160000,0.029
2,160000,0.51
4,160000,0.48
6,160000,0.45
8,160000,0.51
1,163840000,26.21
2,163840000,20.97
4,163840000,13.95
6,163840000,5.02
8,163840000,4.55
1,20000,0.014
2,20000,0.52
4,20000,0.51
6,20000,0.47
8,20000,0.46
1,20480000,3.27
2,20480000,2.99
4,20480000,2.25
6,20480000,1.86
8,20480000,1.66
1,2560000,0.42
2,2560000,0.72
4,2560000,0.70
6,2560000,0.67
8,2560000,0.65
1,320000,0.054
2,320000,0.45
4,320000,0.48
6,320000,0.50
8,320000,0.58
1,327680000,52.11
2,327680000,6.45
4,327680000,6.46
6,327680000,8.24
8,327680000,7.74
1,40000,0.01
2,40000,0.64
4,40000,0.48
6,40000,0.48
8,40000,0.54
1,40960000,6.48
2,40960000,5.33
4,40960000,3.77
6,40960000,3.12
8,40960000,2.86
1,5120000,0.84
2,5120000,1.01
4,5120000,0.94
6,5120000,0.79
8,5120000,0.77
1,640000,0.10
2,640000,0.50
4,640000,0.53
6,640000,0.50
8,640000,0.57
1,655360000,101.94
2,655360000,26.49
4,655360000,9.96
6,655360000,15.55
8,655360000,13.85
1,80000,0.016
2,80000,0.64
4,80000,0.42
6,80000,0.52
8,80000,0.52
1,81920000,12.75
2,81920000,10.13
4,81920000,7.08
6,81920000,5.86
8,81920000,5.10
