multiplier,processes,time
1,1,1.0493903160095215
1,2,0.8194994926452637
1,4,0.6856486797332764
1,6,0.6700401306152344
1,8,0.6031343936920166
2,1,1.701857089996338
2,2,1.0610990524291992
2,4,0.9498460292816162
2,6,0.7716758251190186
2,8,0.7486841678619385
4,1,3.885084390640259
4,2,1.700059175491333
4,4,1.1924879550933838
4,6,1.059431552886963
4,8,1.0121922492980957
8,1,5.710859298706055
8,2,3.123530626296997
8,4,1.9591081142425537
8,6,1.5488755702972412
8,8,1.254258394241333
16,1,11.051149606704712
16,2,5.700839996337891
16,4,3.293189287185669
16,6,2.5842604637145996
16,8,2.1503496170043945
32,1,21.44702386856079
32,2,11.264390468597412
32,4,6.1138787269592285
32,6,4.58960485458374
32,8,3.8876953125
64,1,42.86988091468811
64,2,21.631433963775635
64,4,12.439772129058838
64,6,10.668662786483765
64,8,8.027738809585571
