Image,Width,Height,Sigma,Tmin,Tmax,Host_Time_us,Device_Time_us,Speedup
house.pgm,512,512,0.5,30,80,30.955744,1.444480,21.43
house.pgm,512,512,0.5,30,100,29.836704,1.438208,20.74
house.pgm,512,512,0.5,30,120,30.893503,1.461568,21.13
house.pgm,512,512,0.5,50,80,30.926785,1.426112,21.68
house.pgm,512,512,0.5,50,100,30.072256,1.445312,20.80
house.pgm,512,512,0.5,50,120,37.891457,1.548256,24.47
house.pgm,512,512,0.5,70,80,31.108801,1.444256,21.53
house.pgm,512,512,0.5,70,100,29.991167,1.426752,21.02
house.pgm,512,512,0.5,70,120,30.962656,1.442016,21.47
house.pgm,512,512,1.0,30,80,30.966400,1.423776,21.74
house.pgm,512,512,1.0,30,100,31.171520,1.431264,21.77
house.pgm,512,512,1.0,30,120,31.127104,1.426048,21.82
house.pgm,512,512,1.0,50,80,31.193727,1.424768,21.89
house.pgm,512,512,1.0,50,100,29.780544,1.436480,20.73
house.pgm,512,512,1.0,50,120,29.689152,1.421440,20.88
house.pgm,512,512,1.0,70,80,30.883871,1.450944,21.28
house.pgm,512,512,1.0,70,100,29.658785,1.425696,20.80
house.pgm,512,512,1.0,70,120,29.656769,1.430016,20.73
house.pgm,512,512,1.5,30,80,30.934944,1.419776,21.78
house.pgm,512,512,1.5,30,100,37.276066,1.528992,24.37
house.pgm,512,512,1.5,30,120,31.118048,1.441664,21.58
house.pgm,512,512,1.5,50,80,30.883583,1.429344,21.60
house.pgm,512,512,1.5,50,100,29.663649,1.434688,20.67
house.pgm,512,512,1.5,50,120,31.024351,1.440032,21.54
house.pgm,512,512,1.5,70,80,31.167393,1.461792,21.32
house.pgm,512,512,1.5,70,100,29.690880,1.412512,21.01
house.pgm,512,512,1.5,70,120,31.431200,1.449184,21.68
house.pgm,512,512,2.0,30,80,31.117409,1.422656,21.87
house.pgm,512,512,2.0,30,100,30.996864,1.420576,21.81
house.pgm,512,512,2.0,30,120,30.913824,1.459904,21.17
