Image,Width,Height,Sigma,Tmin,Tmax,Host_Time_us,Device_Time_us,Speedup
house.pgm,512,512,0.5,30,80,30.969185,1.439232,21.51
house.pgm,512,512,0.5,30,100,30.334496,1.443424,21.01
house.pgm,512,512,0.5,30,120,31.067648,1.419072,21.89
house.pgm,512,512,0.5,50,80,29.767904,1.400768,21.25
house.pgm,512,512,0.5,50,100,30.976736,1.452256,21.33
house.pgm,512,512,0.5,50,120,38.149471,1.429536,26.68
house.pgm,512,512,0.5,70,80,30.981024,1.429664,21.67
house.pgm,512,512,0.5,70,100,30.314592,1.424896,21.27
house.pgm,512,512,0.5,70,120,31.158848,1.448032,21.51
house.pgm,512,512,1.0,30,80,37.281281,1.551328,24.03
house.pgm,512,512,1.0,30,100,31.130816,1.440192,21.61
house.pgm,512,512,1.0,30,120,37.647072,1.453824,25.89
house.pgm,512,512,1.0,50,80,30.736641,1.425152,21.56
house.pgm,512,512,1.0,50,100,37.739296,1.430144,26.38
house.pgm,512,512,1.0,50,120,29.760351,1.439360,20.67
house.pgm,512,512,1.0,70,80,29.906464,1.456448,20.53
house.pgm,512,512,1.0,70,100,30.909472,1.439296,21.47
house.pgm,512,512,1.0,70,120,31.081408,1.428608,21.75
house.pgm,512,512,1.5,30,80,31.056128,1.419840,21.87
house.pgm,512,512,1.5,30,100,30.137440,1.422592,21.18
house.pgm,512,512,1.5,30,120,38.209888,1.439072,26.55
house.pgm,512,512,1.5,50,80,36.244034,1.422560,25.47
house.pgm,512,512,1.5,50,100,36.132095,1.438688,25.11
house.pgm,512,512,1.5,50,120,30.990944,1.429440,21.68
house.pgm,512,512,1.5,70,80,29.890720,1.439456,20.76
house.pgm,512,512,1.5,70,100,29.619616,1.435328,20.63
house.pgm,512,512,1.5,70,120,31.438816,1.435840,21.89
house.pgm,512,512,2.0,30,80,29.803360,1.432864,20.79
house.pgm,512,512,2.0,30,100,29.718208,1.412512,21.03
house.pgm,512,512,2.0,30,120,29.698400,1.432448,20.73
house.pgm,512,512,2.0,50,80,29.935232,1.423968,21.02
house.pgm,512,512,2.0,50,100,30.145985,1.430464,21.07
house.pgm,512,512,2.0,50,120,31.049313,1.446752,21.46
house.pgm,512,512,2.0,70,80,30.849760,1.426816,21.62
house.pgm,512,512,2.0,70,100,37.890114,1.472992,25.72
house.pgm,512,512,2.0,70,120,29.875744,1.437664,20.78
house.pgm,512,512,2.5,30,80,37.528576,1.542336,24.33
house.pgm,512,512,2.5,30,100,37.005951,1.438848,25.71
house.pgm,512,512,2.5,30,120,30.054304,1.452800,20.68
house.pgm,512,512,2.5,50,80,29.832319,1.421888,20.98
house.pgm,512,512,2.5,50,100,29.712255,1.452672,20.45
house.pgm,512,512,2.5,50,120,30.068289,1.423648,21.12
house.pgm,512,512,2.5,70,80,31.110592,1.448960,21.47
house.pgm,512,512,2.5,70,100,30.926432,1.425184,21.69
house.pgm,512,512,2.5,70,120,29.972799,1.420512,21.09
jetplane.pgm,512,512,0.5,30,80,37.606655,1.462368,25.71
jetplane.pgm,512,512,0.5,30,100,30.865376,1.452672,21.24
jetplane.pgm,512,512,0.5,30,120,30.958015,1.426080,21.70
jetplane.pgm,512,512,0.5,50,80,31.113983,1.449472,21.46
jetplane.pgm,512,512,0.5,50,100,31.040417,1.427840,21.73
jetplane.pgm,512,512,0.5,50,120,35.435009,1.428832,24.79
jetplane.pgm,512,512,0.5,70,80,38.315296,1.537824,24.91
jetplane.pgm,512,512,0.5,70,100,30.960129,1.456288,21.25
jetplane.pgm,512,512,0.5,70,120,31.053024,1.434688,21.64
jetplane.pgm,512,512,1.0,30,80,30.996511,1.441632,21.50
jetplane.pgm,512,512,1.0,30,100,30.931583,1.468960,21.05
jetplane.pgm,512,512,1.0,30,120,30.760960,1.428064,21.54
jetplane.pgm,512,512,1.0,50,80,36.777058,1.444096,25.46
jetplane.pgm,512,512,1.0,50,100,30.958303,1.426720,21.69
jetplane.pgm,512,512,1.0,50,120,30.852991,1.414816,21.80
jetplane.pgm,512,512,1.0,70,80,30.866816,1.425568,21.65
jetplane.pgm,512,512,1.0,70,100,29.679008,1.432192,20.72
jetplane.pgm,512,512,1.0,70,120,30.893568,1.431296,21.58
jetplane.pgm,512,512,1.5,30,80,31.021696,1.427488,21.73
jetplane.pgm,512,512,1.5,30,100,29.903168,1.424896,20.98
jetplane.pgm,512,512,1.5,30,120,31.132320,1.438016,21.64
jetplane.pgm,512,512,1.5,50,80,31.212383,1.464512,21.31
jetplane.pgm,512,512,1.5,50,100,30.815329,1.469920,20.96
jetplane.pgm,512,512,1.5,50,120,35.805088,1.488736,24.05
jetplane.pgm,512,512,1.5,70,80,30.841503,1.430400,21.56
jetplane.pgm,512,512,1.5,70,100,36.248608,1.424832,25.44
jetplane.pgm,512,512,1.5,70,120,29.709440,1.419104,20.93
jetplane.pgm,512,512,2.0,30,80,30.113440,1.428032,21.08
jetplane.pgm,512,512,2.0,30,100,38.948895,1.491424,26.11
jetplane.pgm,512,512,2.0,30,120,31.062241,1.450368,21.41
jetplane.pgm,512,512,2.0,50,80,31.248896,1.434752,21.77
jetplane.pgm,512,512,2.0,50,100,30.032000,1.410624,21.28
jetplane.pgm,512,512,2.0,50,120,29.539743,1.434208,20.59
jetplane.pgm,512,512,2.0,70,80,38.191967,1.519872,25.12
jetplane.pgm,512,512,2.0,70,100,29.817633,1.422400,20.96
jetplane.pgm,512,512,2.0,70,120,35.218754,1.441632,24.42
jetplane.pgm,512,512,2.5,30,80,29.624191,1.424512,20.79
jetplane.pgm,512,512,2.5,30,100,37.106495,1.457696,25.45
jetplane.pgm,512,512,2.5,30,120,31.120096,1.446656,21.51
jetplane.pgm,512,512,2.5,50,80,30.709921,1.454880,21.10
jetplane.pgm,512,512,2.5,50,100,37.504894,1.460800,25.67
jetplane.pgm,512,512,2.5,50,120,31.169600,1.432704,21.75
jetplane.pgm,512,512,2.5,70,80,31.171968,1.433184,21.75
jetplane.pgm,512,512,2.5,70,100,30.062271,1.421728,21.14
jetplane.pgm,512,512,2.5,70,120,30.774273,1.441344,21.35
