Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/Account/login,200,0,370.0,387.68521343500674,266.0530379998818,1005.5098350003391,346.0,0.5006220598840032,0.0,370,400,410,430,490,520,610,930,1000,1000,1000
POST,/api/basket,5453,0,21,26.398616892164505,17.35874999940279,1178.44980999962,261.00568494406747,13.649460462737348,0.0,21,22,23,24,27,38,82,150,520,1200,1200
GET,/api/basket?id=test-basket,5494,0,20,24.927076020936326,15.892041999904905,776.4930140001525,258.28230797233346,13.752087985013569,0.0,20,21,22,22,25,34,81,130,530,780,780
GET,/api/orders,4172,0,100.0,131.53330028476068,28.93897800004197,4356.854257000123,115621.91155321189,10.442976169180309,0.0,100,120,130,140,190,250,400,870,3100,4400,4400
POST,/api/orders,1401,0,55,62.72259558529165,40.03545399973518,688.9760800004296,537.5553176302641,3.506857529487443,0.0,55,58,62,64,76,100,150,210,550,690,690
GET,/api/orders/deliveryMethods,200,0,33,40.957546499948876,25.845985999694676,946.0454430000027,427.0,0.5006220598840032,0.0,33,34,36,37,44,66,95,140,950,950,950
GET,/api/products,2935,0,31,37.816623670518254,23.698963999777334,1026.1106219995781,1545.9948892674618,7.346628728797747,0.0,31,32,34,35,41,57,100,180,730,1000,1000
GET,/api/products/1,1387,0,34,41.355044723129666,26.10702699985268,1098.8321639997594,245.0,3.4718139852955625,0.0,34,36,37,39,46,61,100,170,1000,1100,1100
GET,/api/products/10,1409,0,34,40.548652453501965,26.53812399967137,1078.0324409997775,242.0,3.526882411882803,0.0,34,36,38,39,46,61,110,190,540,1100,1100
GET,/api/products/3,1385,0,34,40.53842333069042,25.74144400023215,645.3514739996535,252.0,3.4668077646967226,0.0,34,36,38,39,46,64,120,180,630,650,650
GET,/api/products/4,1402,0,34,41.47228903566338,26.691793999816582,787.283073999788,236.0,3.5093606397868626,0.0,34,36,37,39,45,60,130,210,700,790,790
GET,/api/products/5,1373,0,34,39.78328383539222,26.82818799985398,358.67888100074197,261.0,3.4367704411036826,0.0,34,36,38,39,46,60,110,190,340,360,360
GET,/api/products/6,1420,0,34,40.026563995777416,26.5163140002187,774.1770760003419,241.0,3.5544166251764233,0.0,34,35,37,39,46,59,97,160,720,770,770
GET,/api/products/brands,4147,0,30,37.65559019412329,23.30617300049198,950.3784640000958,196.0,10.380398411694808,0.0,30,32,33,35,41,56,110,220,740,950,950
GET,/api/products/types,4239,0,30,37.64403600755263,23.511125000368338,1083.739419000267,203.0,10.610684559241449,0.0,30,32,33,34,41,56,120,260,640,1100,1100
,Aggregated,36617,0,31,48.34437490414283,15.892041999904905,4356.854257000123,13501.83463964825,91.65638983386273,0.0,31,34,39,48,88,120,220,340,1100,3600,4400
