Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,3714,0,16,23.34531756059168,12.886088999948697,593.3568580003339,13051.0,15.902957480913484,0.0,16,18,22,23,26,29,69,240,450,590,590
GET,/products/1,774,0,16,23.722806793272,13.110148000123445,471.6776140003276,13051.0,3.3141866155700153,0.0,16,18,21,23,25,28,81,310,470,470,470
GET,/products/10,727,0,17,23.69124778540103,12.903140000162239,637.6722269997117,13051.0,3.112937557518606,0.0,17,18,22,23,26,29,64,310,640,640,640
GET,/products/11,722,0,16,25.40007489334833,13.22978600001079,630.8926080000674,13051.0,3.091528083257818,0.0,16,18,21,23,26,36,100,360,630,630,630
GET,/products/2,753,0,16,22.318072612209388,13.131717999385728,387.3540669992508,13051.0,3.224266823674705,0.0,16,18,22,23,26,31,60,140,390,390,390
GET,/products/3,736,0,16,20.76848031791448,13.245471999653091,443.3115709998674,13051.0,3.151474611188025,0.0,16,18,22,23,26,29,55,77,440,440,440
GET,/products/5,753,0,16,23.315620201861424,13.200516999859246,632.6372560006348,13051.0,3.224266823674705,0.0,16,18,22,23,25,28,56,160,630,630,630
GET,/products/6,782,0,16,21.673732177761774,12.83244400019612,410.1142859999527,13051.0,3.3484417743872763,0.0,16,18,22,23,26,29,51,110,410,410,410
GET,/products/7,766,0,16,23.571388139715637,13.01623700055643,606.3486309994914,13051.0,3.279931456752754,0.0,16,18,22,23,26,28,57,370,610,610,610
GET,/products/8,707,0,16,24.546364053760655,12.865992000115511,598.9734439999665,13051.0,3.027299660475453,0.0,16,18,22,23,26,31,93,370,600,600,600
GET,/products/9,728,0,16,24.04138339286644,12.688281000009738,463.3076529999016,13051.0,3.117219452370764,0.0,16,18,22,23,26,29,85,370,460,460,460
GET,/shop,11105,0,16,24.091424725527954,12.755685999763955,647.5119229999109,13051.0,47.55044233321062,0.0,16,18,22,23,26,29,76,340,560,640,650
,Aggregated,22267,0,16,23.697505063323856,12.688281000009738,647.5119229999109,13051.0,95.34495267299422,0.0,16,18,22,23,26,29,72,300,490,640,650
